model,year,transmission,mileage,fuelType,mpg,engineSize,price
 Fabia,2006,Manual,141000,Diesel,30.05,1.4,1295
 Fiesta,2007,Manual,108475,Petrol,22.8,1.4,1295
 KA,2007,Manual,88000,Petrol,21.75,1.3,1295
 Getz,2007,Manual,90800,Petrol,25.7,1.1,1295
 Fiesta,2006,Manual,97556,Diesel,31.4,1.4,1299
A3,2019,Manual,2029,Petrol,24.8,1,15700
A6,2018,Automatic,22958,Petrol,25.2,1.8,16600
 Mondeo,2008,Manual,1,Diesel,23.95,2,1299
 Golf,2008,Manual,1,Diesel,26.65,1.9,1299
 Beetle,2003,Manual,87000,Petrol,20.45,1.6,1300
 Corolla,2005,Manual,129000,Petrol,18.35,1.8,1300
I30,2008,Manual,138000,Diesel,28.8,1.6,1395
 Fiesta,2007,Manual,63000,Petrol,23.55,1.2,1400
3 Series,2004,Manual,162000,Diesel,24.8,2,1445
 Focus,2005,Manual,101000,Petrol,21.05,1.6,1449
 Focus,2007,Manual,100100,Petrol,21.4,1.6,1450
 Polo,2007,Manual,107000,Petrol,23.55,1.2,1450
 Fusion,2009,Manual,94028,Petrol,21.75,1.4,1450
 Focus,2005,Automatic,88746,Petrol,18.35,1.6,1475
 Octavia,2010,Manual,250650,Diesel,28.8,1.9,1485
A3,2003,Automatic,101000,Diesel,22.25,1.9,1490
 Fabia,2009,Manual,72464,Petrol,23.95,1.2,1490
 Corolla,2003,Manual,89000,Petrol,19.6,1.6,1495
 Polo,2005,Manual,96000,Petrol,23.55,1.2,1495
 Beetle,2005,Manual,93839,Petrol,20.45,1.6,1495
A3,2018,Manual,17992,Petrol,27.15,1.5,18950
 Octavia,2005,Manual,119017,Diesel,23.95,2,1495
 Focus,2006,Manual,105000,Diesel,29.45,1.6,1495
 Mondeo,2007,Manual,127000,Petrol,18.6,1.8,1495
 Fiesta,2008,Manual,118000,Diesel,31.4,1.4,1495
I10,2008,Manual,94000,Petrol,28.25,1.2,1495
 Passat,2010,Manual,168000,Diesel,30.05,2,1495
 Fusion,2004,Automatic,59300,Petrol,21.4,1.4,1500
1 Series,2007,Manual,167000,Diesel,28.8,2,1500
A3,2019,Manual,5704,Petrol,24.8,1,16000
 Fabia,2007,Manual,74000,Petrol,21.1,1.4,1500
 Octavia,2008,Manual,110265,Diesel,27.15,1.9,1500
3 Series,2000,Automatic,93000,Petrol,14.85,2.5,1550
 Golf,2004,Manual,150000,Petrol,20.75,1.4,1550
 Yaris,2006,Manual,100418,Petrol,26.15,1,1550
 KA,2008,Manual,77000,Petrol,21.75,1.3,1550
 Fox,2009,Manual,70000,Petrol,21,1.4,1590
5 Series,2002,Automatic,115000,Petrol,14.25,2.2,1595
 Fiesta,2007,Manual,115000,Petrol,22.8,1.4,1595
 Auris,2007,Manual,107000,Petrol,19.9,1.6,1599
RAV4,2002,Manual,140000,Petrol,16.05,2,1600
 Fabia,2008,Manual,111034,Petrol,23.95,1.2,1650
 Focus,2003,Manual,89630,Petrol,20.45,1.6,1695
 Fiesta,2007,Manual,103000,Petrol,22.8,1.4,1695
 Fiesta,2008,Manual,116000,Petrol,23.55,1.2,1695
A3,2019,Semi-Auto,4000,Petrol,22.05,1.5,25499
Q2,2019,Semi-Auto,7897,Diesel,23.95,2,25499
 Getz,2008,Manual,67000,Petrol,25.7,1.1,1695
 Focus,2009,Manual,139600,Petrol,24.35,1.6,1695
I10,2009,Manual,84000,Petrol,28.25,1.2,1695
5 Series,2000,Manual,99209,Petrol,14.7,2,1699
A4,2004,Manual,110000,Diesel,18.1,2.5,1699
A4,2018,Manual,15207,Petrol,25.7,1.4,17500
 Amica,2007,Automatic,53000,Petrol,23.15,1.1,1750
A4,2019,Semi-Auto,9000,Petrol,19.35,2,25499
A4,2019,Manual,5000,Petrol,19.35,2,25000
Q2,2019,Semi-Auto,4264,Petrol,16.6,2,31000
Q3,2019,Manual,4000,Diesel,21.4,2,28000
Q3,2019,Manual,4000,Petrol,21.1,1.5,28000
Q2,2019,Manual,2721,Diesel,24.8,1.6,21499
Q2,2019,Semi-Auto,4000,Petrol,21.1,1.5,26000
 C-MAX,2006,Manual,91000,Petrol,20.2,1.6,1775
 Mondeo,2007,Manual,135391,Diesel,23.15,2.2,1795
 Auris,2007,Manual,70546,Petrol,19.9,1.6,1795
 KA,2008,Manual,63000,Petrol,22.8,1.3,1795
 KA,2008,Manual,63000,Petrol,22.8,1.3,1795
 Fusion,2010,Manual,83000,Petrol,21.75,1.4,1795
 Beetle,2006,Manual,103875,Petrol,18.35,1.6,1799
A6,2018,Automatic,29477,Diesel,30.7,2,22000
 Fiesta,2008,Manual,103000,Petrol,23.55,1.2,1799
 Fox,2008,Manual,88102,Petrol,23.15,1.2,1799
 Touran,2004,Automatic,116971,Petrol,17.9,1.6,1800
 Streetka,2006,Manual,74055,Petrol,17.9,1.6,1850
 Focus,2005,Manual,98213,Petrol,21.05,1.6,1885
 Passat,2006,Manual,126323,Diesel,23.15,2,1895
 KA,2008,Manual,50990,Petrol,22.8,1.3,1895
 Fusion,2008,Manual,105000,Petrol,21.4,1.6,1895
 Focus,2009,Manual,50000,Petrol,21.1,1.6,1950
 KA,2009,Manual,85000,Petrol,27.7,1.2,1954
A3,2005,Manual,104000,Petrol,19.05,2,1975
 Yaris,2008,Automatic,124309,Petrol,24.35,1.3,1985
 Avensis,2009,Manual,148371,Diesel,27.7,2,1985
 TT,2002,Manual,131925,Petrol,15.05,1.8,1990
 Getz,2003,Automatic,51000,Petrol,18.6,1.6,1990
 Avensis,2006,Manual,125000,Petrol,19.6,1.8,1990
Q3,2018,Automatic,13303,Petrol,20.2,2,24400
A3,2019,Manual,2752,Petrol,22.4,1.5,18750
 KA,2007,Manual,50000,Petrol,22.8,1.3,1990
 Polo,2009,Manual,65024,Petrol,24.35,1.2,1990
I10,2010,Manual,85640,Petrol,28.25,1.2,1990
Q2,2018,Manual,12167,Petrol,25.2,1.4,20000
 Aygo,2007,Manual,119213,Petrol,30.7,1,1991
 Yaris,1999,Automatic,89000,Petrol,21.45,1.3,1995
 Fiesta,2000,Manual,43000,Petrol,20.75,1.3,1995
Z4,2004,Manual,114000,Petrol,16.05,2.2,1995
 Focus,2005,Manual,40000,Petrol,22.05,1.6,1995
 Galaxy,2005,Manual,114000,Petrol,14,2.3,1995
 C-MAX,2007,Manual,1995,Petrol,19.9,1.8,1995
 Aygo,2007,Manual,75900,Petrol,30.7,1,1995
 Getz,2007,Manual,57000,Petrol,25.7,1.1,1995
 Focus,2008,Manual,141000,Petrol,21.1,1.6,1995
 Mondeo,2008,Manual,130000,Diesel,23.95,2,1995
 C-MAX,2009,Manual,79606,Petrol,19.9,1.8,1995
 Yaris,2009,Manual,79744,Petrol,28.25,1,1995
I10,2009,Manual,55000,Petrol,28.25,1.2,1995
I20,2010,Manual,78100,Petrol,27.15,1.2,1995
 Golf,2000,Manual,80670,Petrol,17.9,2,1999
 Yaris,2002,Automatic,71788,Petrol,21.1,1.3,1999
A5,2018,Manual,20832,Petrol,23.55,2,19800
 Streetka,2005,Manual,63000,Petrol,17.65,1.6,1999
 Golf,2005,Manual,85160,Petrol,20.75,1.6,1999
A4,2018,Manual,20070,Petrol,26.15,1.4,15600
 Focus,2008,Manual,101000,Petrol,21.1,1.6,1999
 Fiesta,2008,Manual,90000,Petrol,22.8,1.4,1999
 C-MAX,2008,Manual,97000,Petrol,19.9,1.8,1999
 Octavia,2008,Manual,112600,Petrol,19.9,1.4,1999
Q3,2018,Automatic,42209,Petrol,21.1,2,19100
 Focus,2009,Manual,113492,Petrol,21.1,1.6,1999
 Focus,2009,Manual,109000,Petrol,20.2,1.8,1999
I10,2011,Manual,92000,Petrol,30.7,1.2,1999
I30,2009,Manual,94000,Petrol,23.15,1.4,2000
 Corolla,2004,Manual,96000,Petrol,18.35,1.8,2095
 Fusion,2005,Manual,31000,Petrol,20.75,1.4,2095
 Fiesta,2007,Manual,79000,Petrol,20.75,1.2,2100
 Fiesta,2008,Manual,95000,Petrol,22.8,1.4,2175
 Puma,2002,Manual,108000,Petrol,19.1,1.7,2195
 Corolla,2003,Automatic,102000,Petrol,17.25,1.8,2195
 Focus,2006,Manual,89000,Diesel,29.45,1.6,2195
 Getz,2007,Manual,81400,Petrol,25.7,1.1,2195
 Avensis,2006,Manual,87743,Diesel,24.8,2,2250
 Passat,2007,Manual,113000,Diesel,23.55,2,2250
 Fiesta,2008,Manual,54000,Petrol,23.55,1.2,2250
 Fiesta,2008,Manual,61000,Petrol,23.55,1.2,2250
 Fiesta,2009,Manual,100000,Diesel,33.65,1.6,2250
 Golf,2009,Manual,193000,Diesel,26.15,2,2250
I30,2009,Manual,116000,Diesel,30.05,1.6,2250
 Fiesta,2006,Manual,45000,Petrol,23.55,1.2,2275
 TT,2019,Automatic,3000,Petrol,20.45,2,29485
 C-MAX,2009,Manual,89000,Petrol,20.45,1.6,2280
 Fiesta,2004,Manual,88936,Petrol,22.05,1.4,2295
Q3,2018,Semi-Auto,17085,Petrol,23.95,1.4,23985
 Focus,2005,Manual,87530,Petrol,19.9,2,2295
 Beetle,2007,Manual,89000,Petrol,18.35,1.6,2295
 Fox,2007,Manual,74000,Petrol,23.15,1.2,2295
 Aygo,2007,Manual,69492,Petrol,30.7,1,2295
 Octavia,2007,Manual,116000,Diesel,23.95,2,2295
A3,2019,Manual,8449,Diesel,25.7,1.6,17985
 Focus,2008,Manual,81000,Diesel,27.15,1.8,2295
A3,2018,Semi-Auto,23860,Petrol,30.05,1,16985
A4,2018,Automatic,21009,Petrol,17.9,3,30985
A6,2019,Automatic,1881,Diesel,23.95,2,29985
A6,2019,Semi-Auto,688,Diesel,23.95,2,27985
A6,2019,Automatic,1863,Diesel,23.95,2,30985
Q7,2020,Semi-Auto,10,Diesel,16.6,3,62985
 Jetta,2008,Manual,111000,Diesel,24.35,2,2295
A4,2019,Semi-Auto,1024,Petrol,19.35,2,28985
A4,2019,Semi-Auto,448,Petrol,19.9,2,24985
A4,2019,Semi-Auto,476,Petrol,19.6,2,26985
A7,2019,Automatic,5201,Diesel,19.35,3,39985
A3,2019,Semi-Auto,2028,Petrol,21.1,1.5,21985
A6,2019,Automatic,3241,Diesel,19.6,3,45485
Q5,2019,Automatic,355,Diesel,19.6,2,33985
A5,2019,Automatic,18,Petrol,19.9,2,28985
A3,2019,Automatic,3122,Petrol,20.75,1.5,29985
Q2,2019,Manual,824,Petrol,20.45,1.5,28985
A6,2019,Semi-Auto,2811,Diesel,23.95,2,31985
A6,2019,Semi-Auto,27,Diesel,25.2,2,31985
A4,2019,Semi-Auto,4254,Petrol,19.1,2,29485
A1,2019,Semi-Auto,2252,Petrol,24.35,1,17985
Q2,2019,Automatic,3422,Diesel,23.95,1.6,20985
Q2,2019,Automatic,37,Diesel,23.95,1.6,23685
A4,2019,Semi-Auto,7299,Petrol,19.1,2,27985
Q2,2019,Semi-Auto,1414,Petrol,20.45,1.5,27985
Q5,2019,Automatic,5135,Diesel,19.1,2,36985
Q5,2019,Automatic,6024,Diesel,19.1,2,37985
Q5,2020,Semi-Auto,10,Petrol,16.05,2,37985
Q7,2019,Automatic,10,Diesel,16.6,3,49985
Q7,2019,Automatic,10,Diesel,16.6,3,59995
Q5,2020,Semi-Auto,10,Petrol,15.35,2,47895
A4,2020,Semi-Auto,10,Petrol,21.1,2,31985
 Fabia,2009,Manual,102645,Petrol,21.1,1.2,2295
 Fusion,2007,Manual,62233,Petrol,21.4,1.6,2299
A5,2018,Automatic,5071,Petrol,25.2,2,24985
 Touran,2008,Manual,112304,Petrol,17.25,1.6,2300
Q3,2019,Automatic,10,Diesel,23.55,2,34985
A5,2019,Automatic,10,Diesel,25.7,2,29985
Q3,2019,Automatic,10,Diesel,23.55,2,34485
A1,2019,Manual,10,Petrol,24.8,1,19685
A4,2019,Automatic,10,Diesel,26.65,2,34985
A7,2019,Semi-Auto,10,Diesel,19.1,3,43885
A6,2019,Automatic,2000,Diesel,23.95,2,35895
Q2,2019,Automatic,10,Petrol,21.75,1.5,26985
A6,2019,Automatic,3510,Diesel,18.1,3,46985
A3,2019,Automatic,10,Petrol,22.4,1.5,23985
A5,2019,Automatic,10,Petrol,19.9,2,28985
A5,2019,Automatic,1010,Petrol,19.9,2,27985
A6,2019,Semi-Auto,500,Diesel,23.95,2,28985
A4,2019,Automatic,10,Petrol,21.4,2,29985
A3,2019,Manual,10,Diesel,27.15,1.6,21995
A5,2019,Automatic,10,Petrol,19.9,2,31985
A5,2019,Automatic,10,Diesel,25.7,2,32485
A3,2019,Manual,10,Diesel,25.7,1.6,21285
Q7,2019,Automatic,1510,Diesel,16.6,3,56985
RS3,2019,Semi-Auto,10,Petrol,15.05,2.5,43785
 Verso,2009,Manual,131797,Diesel,25.7,2,2300
3 Series,2002,Manual,99000,Petrol,15.05,2.2,2350
 Fiesta,2008,Manual,59500,Petrol,23.55,1.2,2350
 Polo,2008,Manual,103000,Petrol,21.75,1.4,2350
 KA,2009,Manual,92000,Petrol,27.7,1.2,2350
3 Series,2007,Manual,94000,Petrol,19.35,2,2375
 Focus,2008,Manual,89000,Petrol,21.1,1.6,2375
 Touran,2007,Manual,124000,Petrol,18.85,1.4,2390
RAV4,2005,Manual,113000,Petrol,16.05,2,2394
 Verso,2003,Automatic,104000,Petrol,17.25,1.8,2395
A5,2019,Automatic,10,Petrol,20.2,2,29485
 Getz,2003,Automatic,59000,Petrol,18.6,1.3,2395
 Fusion,2005,Manual,64000,Diesel,32.1,1.4,2395
 Fiesta,2006,Manual,63100,Petrol,23.55,1.2,2395
A5,2019,Automatic,10,Petrol,20.2,2,27995
Q3,2019,Manual,10,Diesel,21.4,2,31985
A4,2019,Automatic,10,Petrol,19.35,2,30995
 Fiesta,2006,Manual,73370,Petrol,23.55,1.2,2395
 Touran,2006,Manual,105000,Diesel,23.15,2,2395
A3,2018,Manual,25000,Petrol,21.1,1.5,19995
 Yaris,2006,Manual,99000,Petrol,23.55,1.3,2395
 Beetle,2007,Manual,103500,Petrol,18.35,1.6,2395
A4,2019,Automatic,10,Diesel,25.2,2,32485
A1,2019,Manual,10,Petrol,24.35,1,20485
Q3,2019,Automatic,10,Diesel,23.55,2,34485
 Focus,2009,Manual,102000,Diesel,29.45,1.6,2395
 Fusion,2010,Manual,77000,Diesel,31.4,1.4,2395
 TT,2018,Manual,34170,Petrol,23.55,1.8,16498
Q5,2019,Semi-Auto,100,Petrol,16.6,2,31998
Q3,2019,Automatic,650,Diesel,23.55,2,35985
Q5,2019,Automatic,10,Diesel,19.1,2,37985
Q5,2019,Semi-Auto,10,Petrol,16.6,2,31998
A4,2019,Manual,2928,Petrol,20.75,2,18998
Q3,2018,Manual,7157,Petrol,25.7,1.4,19485
 Yaris,2011,Manual,115000,Petrol,27.15,1.3,2395
 Aygo,2011,Manual,76552,Petrol,30.7,1,2395
A3,2019,Manual,10,Diesel,28.25,2,23485
A5,2018,Semi-Auto,14078,Petrol,22.8,2,23998
 S-MAX,2007,Manual,144000,Diesel,22.05,2,2400
A6,2018,Semi-Auto,10,Diesel,25.2,2,28985
 Focus,2009,Manual,92000,Petrol,21.1,1.6,2400
A6,2018,Semi-Auto,15600,Diesel,25.2,2,26995
A6,2019,Automatic,5429,Diesel,23.95,2,33985
Q2,2019,Automatic,2710,Petrol,20.45,1.5,30985
Q7,2019,Automatic,6423,Diesel,16.6,3,52985
1 Series,2010,Manual,117454,Diesel,31.4,2,2450
 Yaris,2013,Manual,66000,Petrol,29.45,1.3,2470
 C-MAX,2008,Manual,82000,Petrol,19.35,2,2479
I10,2011,Manual,94138,Petrol,30.7,1.2,2488
 Beetle,2001,Manual,47729,Petrol,16.25,2,2490
Q8,2018,Semi-Auto,8450,Diesel,16.4,3,63985
A6,2018,Semi-Auto,1790,Diesel,25.2,2,27985
A4,2018,Semi-Auto,10,Petrol,26.65,1.4,19485
A4,2018,Manual,10,Petrol,26.15,1.4,20985
A3,2018,Automatic,6754,Diesel,26.15,1.6,22285
A2,2003,Manual,100000,Diesel,32.85,1.4,2490
 Yaris,2006,Manual,62000,Diesel,31.4,1.4,2490
A6,2008,Manual,323000,Diesel,22.05,2,2490
A3,2009,Manual,152034,Diesel,27.7,1.9,2490
 Fiesta,2007,Manual,62596,Petrol,23.55,1.2,2491
 Fusion,2009,Manual,86022,Petrol,21.75,1.4,2491
A6,2003,Automatic,117000,Diesel,19.9,2.5,2495
A3,2018,Manual,19000,Petrol,24.8,2,19995
A6,2003,Manual,129000,Diesel,15.85,2.5,2495
1 Series,2004,Manual,112000,Diesel,24.8,2,2495
 Yaris,2004,Automatic,100000,Petrol,22.4,1.3,2495
 Focus,2005,Automatic,87908,Petrol,18.35,1.6,2495
Q7,2020,Semi-Auto,826,Diesel,14.7,4,82995
A4,2019,Semi-Auto,5987,Petrol,19.1,2,25990
A6,2019,Semi-Auto,2977,Diesel,23.95,2,30995
Q5,2019,Automatic,7573,Diesel,19.6,2,34985
Q3,2019,Manual,3055,Diesel,21.4,2,31995
A4,2019,Automatic,22,Petrol,19.35,2,29985
A4,2019,Automatic,2250,Diesel,25.7,2,28485
 Corolla,2005,Manual,88150,Diesel,29.45,1.4,2495
Q5,2019,Automatic,10,Diesel,19.6,2,32895
 Yaris,2005,Manual,87263,Petrol,25.2,1.3,2495
Q5,2019,Semi-Auto,28,Petrol,16.05,2,35998
 Prius,2005,Automatic,130000,Hybrid,32.85,1.5,2495
 Fusion,2006,Manual,69255,Petrol,21.75,1.4,2495
 Focus,2006,Automatic,70730,Petrol,18.35,1.6,2495
 Galaxy,2007,Manual,133694,Diesel,21.75,2,2495
 C-MAX,2007,Manual,96000,Petrol,19.9,1.8,2495
 Focus,2007,Manual,78000,Diesel,29.45,1.6,2495
 Focus,2007,Manual,78580,Petrol,21.1,1.4,2495
 Passat,2007,Manual,99000,Diesel,22.8,2,2495
A3,2019,Automatic,2257,Diesel,26.15,1.6,24985
A3,2019,Manual,4039,Diesel,25.7,1.6,24485
 Tucson,2007,Manual,90631,Petrol,17.65,2,2495
 C-MAX,2008,Manual,91000,Petrol,19.9,1.8,2495
A4,2018,Automatic,18010,Petrol,24.8,1.4,24985
 Focus,2008,Manual,89000,Diesel,31.4,1.6,2495
 Polo,2008,Manual,97000,Petrol,21.75,1.4,2495
 Yaris,2008,Manual,120000,Petrol,23.55,1.3,2495
 Aygo,2008,Manual,99000,Petrol,30.7,1,2495
A4,2019,Semi-Auto,26,Diesel,23.95,2,27990
 Octavia,2008,Manual,104273,Diesel,26.65,1.9,2495
A3,2018,Manual,17547,Petrol,28.25,1.5,15995
A3,2020,Semi-Auto,314,Petrol,17.45,2,35995
 Focus,2009,Manual,107000,Petrol,21.1,1.6,2495
A6,2019,Semi-Auto,3278,Diesel,23.95,2,31985
A7,2019,Automatic,1285,Diesel,19.6,3,32985
A6,2019,Automatic,4445,Diesel,23.95,2,30985
A4,2020,Semi-Auto,6998,Petrol,19.1,2,34798
A4,2020,Semi-Auto,6746,Diesel,22.8,2,40780
 Focus,2009,Manual,118000,Diesel,31.4,1.6,2495
 Polo,2009,Manual,41637,Petrol,24.35,1.2,2495
 Roomster,2009,Manual,97000,Petrol,20.45,1.4,2495
 Octavia,2009,Manual,107038,Diesel,26.65,1.9,2495
I10,2009,Manual,83677,Petrol,28.25,1.2,2495
I30,2009,Manual,125968,Petrol,23.15,1.4,2495
A3,2019,Semi-Auto,3409,Petrol,21.75,1.5,20985
 Focus,2010,Manual,100000,Diesel,31.4,1.6,2495
 Fusion,2010,Manual,96000,Diesel,31.4,1.4,2495
A4,2020,Manual,7456,Petrol,20.45,2,31985
A6,2019,Semi-Auto,20,Diesel,27.7,3,29490
A4,2019,Semi-Auto,4781,Petrol,20.45,2,20495
 Focus,2010,Manual,93900,Diesel,31.4,1.6,2495
 TT,2019,Semi-Auto,12320,Petrol,20.45,2,24995
Q2,2018,Manual,16534,Petrol,24.8,1.4,23995
 Mondeo,2010,Manual,88642,Diesel,24.35,1.8,2495
 Yaris,2010,Manual,80269,Petrol,27.7,1.3,2495
 Fabia,2010,Manual,109575,Diesel,30.7,1.9,2495
I30,2010,Manual,99000,Diesel,31.4,1.6,2495
Q8,2019,Semi-Auto,16385,Diesel,16.8,3,49995
I10,2011,Manual,78000,Petrol,30.7,1.2,2495
 IQ,2012,Manual,72498,Petrol,32.1,1,2495
A5,2020,Semi-Auto,7532,Petrol,19.6,2,37331
A5,2020,Semi-Auto,7925,Diesel,22.8,2,39454
A5,2020,Semi-Auto,7639,Petrol,19.9,2,37507
Q3,2020,Semi-Auto,7914,Diesel,24.35,2,33462
Q5,2018,Semi-Auto,15706,Petrol,20.2,2,30995
A4,2019,Manual,4598,Petrol,19.1,2,25990
A8,2018,Semi-Auto,6588,Diesel,24.35,3,38995
 Fabia,2012,Manual,130000,Petrol,23.95,1.4,2495
A3,2019,Semi-Auto,4549,Petrol,17.25,2,30995
A1,2019,Manual,7564,Petrol,25.7,1,18995
A8,2018,Semi-Auto,11276,Diesel,24.35,3,41995
3 Series,2005,Manual,130000,Petrol,15.7,2.5,2499
5 Series,2007,Automatic,129000,Diesel,17.9,2.5,2499
 Yaris,2007,Manual,66000,Petrol,26.15,1,2499
 Yaris,2007,Manual,92200,Petrol,19.6,1.8,2499
 Fiesta,2008,Automatic,83000,Petrol,19.1,1.6,2499
 Focus,2008,Manual,115000,Petrol,19.9,2,2499
 Focus,2009,Manual,85000,Petrol,21.1,1.6,2499
Q5,2018,Semi-Auto,10252,Petrol,20.2,2,33995
A3,2018,Manual,16380,Diesel,33.65,1.6,17490
 Focus,2010,Manual,87023,Diesel,31.4,1.6,2499
3 Series,2006,Manual,105000,Petrol,19.35,2,2500
 Yaris,2007,Manual,82000,Petrol,19.6,1.8,2500
Q7,2018,Semi-Auto,8618,Diesel,16.4,3,47995
Q2,2018,Manual,9634,Petrol,25.2,1.4,21995
 Fiesta,2008,Manual,77500,Petrol,22.8,1.4,2500
 Focus,2008,Manual,98500,Petrol,21.1,1.6,2500
 Fiesta,2009,Manual,102950,Petrol,24.8,1.2,2500
I20,2009,Manual,70151,Petrol,27.15,1.2,2500
A8,2018,Semi-Auto,12195,Diesel,25.2,3,35995
A5,2018,Semi-Auto,12686,Diesel,29.45,3,27995
A1,2019,Semi-Auto,5356,Petrol,22.05,1.5,23995
A4,2020,Semi-Auto,7963,Petrol,20.75,2,31265
A5,2020,Semi-Auto,7423,Diesel,25.7,2,36312
 C-MAX,2010,Manual,99000,Diesel,26.15,1.8,2500
I10,2010,Manual,65555,Petrol,28.8,1.2,2500
3 Series,2007,Manual,103000,Diesel,24.8,2,2550
A6,2019,Semi-Auto,4582,Diesel,19.6,3,33490
 Golf,2005,Manual,122000,Diesel,24.8,2,2595
 Golf,2006,Manual,95000,Petrol,20.75,1.6,2595
 Passat,2007,Manual,136764,Diesel,22.05,2,2595
Q2,2019,Manual,6484,Diesel,24.8,1.6,23995
A3,2019,Manual,3325,Diesel,24.8,1.6,20995
 Fiesta,2008,Manual,116000,Diesel,33.65,1.6,2595
 Focus,2008,Automatic,84500,Petrol,18.35,1.6,2595
RAV4,2008,Manual,98000,Diesel,21.4,2.2,2595
 Fiesta,2009,Manual,80000,Petrol,26.15,1.2,2595
A6,2007,Manual,127700,Diesel,22.05,2,2600
 Focus,2010,Manual,105000,Petrol,21.1,1.6,2645
 Fiesta,2008,Manual,73206,Petrol,23.55,1.2,2650
 KA,2011,Manual,30475,Petrol,28.85,1.2,2650
A4,2007,Manual,125000,Petrol,17.45,2,2675
3 Series,2008,Manual,130000,Petrol,23.15,2,2675
 Fiesta,2010,Manual,109000,Diesel,38.15,1.6,2690
 Fabia,2005,Manual,34982,Petrol,21.75,1.4,2691
 Mondeo,2010,Manual,130000,Diesel,26.65,2,2694
A6,2019,Semi-Auto,8598,Diesel,23.95,2,29995
A3,2019,Semi-Auto,6000,Diesel,26.15,1.6,19990
A3,2019,Semi-Auto,5199,Diesel,26.15,1.6,19990
A1,2018,Manual,15092,Petrol,28.85,1.4,14995
 Yaris,2000,Automatic,21000,Petrol,21.45,1.3,2695
 Puma,2002,Manual,69000,Petrol,19.35,1.6,2695
 Yaris,2002,Automatic,21000,Petrol,21.1,1.3,2695
 Golf,2005,Manual,88000,Petrol,20.75,1.6,2695
Q7,2019,Semi-Auto,3264,Diesel,16.8,3,46990
A3,2019,Semi-Auto,2868,Diesel,26.15,1.6,23995
A4,2019,Semi-Auto,6541,Diesel,23.95,2,27990
Q5,2019,Semi-Auto,4511,Diesel,19.1,2,36990
 Polo,2005,Manual,53536,Petrol,23.55,1.2,2695
 Beetle,2006,Manual,78356,Petrol,16.05,2,2695
 Focus,2007,Manual,61000,Petrol,20.2,1.6,2695
 C-MAX,2007,Manual,82000,Petrol,19.9,1.8,2695
Q5,2019,Semi-Auto,30,Petrol,16.6,2,31998
Q5,2019,Semi-Auto,5065,Diesel,19.1,2,36995
Q5,2019,Semi-Auto,4638,Diesel,19.1,2,36995
 Polo,2007,Manual,81400,Petrol,23.55,1.2,2695
Q2,2018,Semi-Auto,4642,Diesel,23.15,1.6,22890
 Fiesta,2008,Manual,78500,Petrol,23.55,1.2,2695
A6,2019,Semi-Auto,4899,Diesel,23.95,2,33298
 Fiesta,2008,Manual,77570,Petrol,23.55,1.2,2695
